neuron_id,super_class,class,cell_type,side,nt_type,nt_score
720575940602483424,visual_projection,,LC31b,left,ACH,0.82
720575940602718432,central,,WED072,left,ACH,0.89
720575940603533246,central,,CB3877,center,GABA,0.48
720575940603609824,central,,CB2049,left,ACH,0.74
720575940603637438,visual_projection,,LC4,right,ACH,0.67
720575940603804350,central,,PLP018,right,GABA,0.75
720575940603942828,central,,PVLP112a,right,GABA,0.86
720575940603989420,visual_projection,,LPLC2,left,ACH,0.5
720575940604088288,central,,AVLP016,right,GLUT,0.46
720575940604201830,central,,CB3875,center,GABA,0.4
720575940604285356,central,,CB3513b,right,GABA,0.68
720575940604569824,central,,AVLP082,right,GABA,0.57
720575940604609056,visual_projection,,LPLC4,right,ACH,0.76
720575940604954289,descending,,DNp04,left,ACH,0.82
720575940605074278,central,,CB3652,right,GABA,0.79
720575940605114754,central,,AVLP451a,left,ACH,0.78
720575940605214636,central,,CB3876,center,GABA,0.65
720575940605277798,central,,CB3922,center,GABA,0.57
720575940605308082,central,,SAD021_c,right,GABA,0.6
720575940605367473,central,,CB1819,left,ACH,0.85
720575940605475774,central,,CB2330,right,ACH,0.76
720575940605489632,optic,LO,Li21,right,GABA,0.69
720575940605598892,visual_projection,,LC4,left,ACH,0.54
720575940605607392,central,,PLP249,right,GABA,0.86
720575940605825666,visual_projection,,LPLC2,right,ACH,0.63
720575940605829065,visual_projection,,LTe65,left,ACH,0.89
720575940605937097,central,,PVLP027,left,GABA,0.53
720575940606126438,visual_projection,,LPLC2,left,ACH,0.64
720575940606149321,central,,AVLP076,right,GABA,0.66
720575940606179686,descending,,DNpe021,left,ACH,0.82
720575940606217138,visual_projection,,LPLC2,right,ACH,0.44
720575940606218528,central,,CB0563,right,GABA,0.68
720575940606336213,central,,CB2664,right,ACH,0.58
720575940606608230,optic,LO,Li24,right,GABA,0.7
720575940606651936,central,,PVLP123a,right,ACH,0.74
720575940606693297,central,,PVLP124,right,ACH,0.77
720575940606739390,visual_projection,bilateral,LT66,right,ACH,0.83
720575940606743170,central,,SAD021_c,right,GABA,0.62
720575940606855554,visual_projection,,LPLC2,right,ACH,0.43
720575940607614475,central,,CL022,right,ACH,0.7
720575940607683011,visual_projection,,LPLC2,right,ACH,0.56
720575940607765257,central,,PLP223,left,ACH,0.74
720575940607780809,central,,CB0738,right,ACH,0.87
720575940607800242,visual_projection,,LC31b,right,ACH,0.86
720575940607825621,visual_projection,,LPLC4,right,ACH,0.83
720575940607845250,visual_projection,,LPLC2,left,ACH,0.48
720575940607854531,visual_projection,,LPLC2,left,ACH,0.63
720575940607909899,ascending,AN,AN_AVLP_PVLP_9,left,ACH,0.81
720575940607915698,optic,bilateral,LC14a1,left,ACH,0.78
720575940608083780,central,,CL323a,right,ACH,0.64
720575940608088259,visual_projection,,LPLC2,left,ACH,0.69
720575940608120587,central,,PVLP122b,left,ACH,0.66
720575940608347314,central,,PVLP128,left,ACH,0.81
720575940608431625,central,,PVLP028,right,GABA,0.7
720575940608545219,central,,AVLP080,right,GABA,0.74
720575940608661955,visual_projection,,LT51,right,GLUT,0.71
720575940608809006,central,,CB1395,left,GABA,0.68
720575940608845124,visual_projection,,LPLC4,right,ACH,0.81
720575940608875531,visual_projection,,LPLC2,left,ACH,0.6
720575940609076693,central,,CB1280,right,ACH,0.78
720575940609162820,central,,AVLP259,left,ACH,0.82
720575940609180718,optic,bilateral,LC14a1,left,ACH,0.65
720575940609268491,central,,SAD064,left,ACH,0.63
720575940609592674,visual_projection,,LPLC2,right,ACH,0.65
720575940609600523,visual_projection,,LT60,left,ACH,0.77
720575940609675785,visual_projection,,LPLC4,right,ACH,0.75
720575940610063918,central,,CB3707,left,GABA,0.71
720575940610116757,visual_projection,,LPLC2,right,ACH,0.58
720575940610125688,ascending,AN,AN_AVLP_20,left,ACH,0.84
720575940610226645,visual_projection,,LPLC2,left,ACH,0.63
720575940610256370,central,,CB1236,right,ACH,0.77
720575940610313570,central,,PVLP070,left,ACH,0.9
720575940610382546,visual_projection,,LPLC4,right,ACH,0.8
720575940610423235,central,,CB1138,left,ACH,0.86
720575940610505006,descending,,DNp103,right,ACH,0.7
720575940610522009,visual_projection,,LC4,left,ACH,0.6
720575940610536290,visual_projection,,LPLC2,right,ACH,0.59
720575940610584184,central,,AVLP001,left,GABA,0.69
720575940610653462,central,,CB2278,right,GABA,0.83
720575940610669042,central,,CB3904,center,GABA,0.6
720575940610681829,visual_projection,,LPLC2,right,ACH,0.67
720575940610734449,visual_projection,,LPLC4,right,ACH,0.75
720575940610738898,central,,PS181,left,ACH,0.73
720575940610739918,visual_projection,,LT82b,left,ACH,0.7
720575940610903409,ascending,AN,AN_AVLP_20,right,ACH,0.86
720575940610953651,visual_projection,,LPLC2,right,ACH,0.43
720575940610962069,central,,AVLP435b,right,ACH,0.9
720575940611036643,visual_projection,,LC31a,left,ACH,0.86
720575940611041649,central,,CB3466,left,ACH,0.72
720575940611080922,central,,PVLP139,left,ACH,0.88
720575940611085274,visual_projection,,LT60,right,ACH,0.79
720575940611091012,central,,CB3513b,left,GABA,0.67
720575940611134833,visual_projection,,LC4,left,ACH,0.56
720575940611186126,central,,CB2386,left,ACH,0.64
720575940611277810,central,,CB0115,left,GABA,0.69
720575940611347123,central,,PVLP130,left,GABA,0.84
720575940611352234,visual_projection,,LPLC2,right,ACH,0.61
